Metadata_Source,Metadata_Plate,n
source_1,UL000109,5888
source_1,UL001653,5888
source_1,UL001659,5888
source_1,UL001673,5888
source_1,UL000087,5887
source_1,UL001667,5888
source_1,UL000083,5888
source_1,UL001769,5888
source_1,UL001719,5888
source_1,UL001783,5888
source_1,UL001797,5888
source_1,UL000581,5888
source_1,UL000593,5888
source_1,UL000599,5888
source_1,UL001651,5888
source_1,UL001641,5888
source_1,UL001661,5888
source_1,UL001675,5888
source_1,UL000089,5888
source_1,UL001669,5888
source_1,UL001645,5888
source_1,UL001655,5888
source_1,UL001671,5888
source_1,UL001677,5887
source_1,UL000091,5888
source_1,UL001785,5863
source_1,UL000093,5888
source_1,UL001643,5888
source_1,UL001647,5888
source_1,UL001649,5888
source_1,UL001679,5887
source_1,UL001665,5888
source_1,UL001787,5876
source_1,UL000081,5888
source_1,UL001771,5882
source_1,UL001781,5888
source_1,UL001795,5883
source_1,UL000577,5888
source_1,UL000585,5888
source_1,UL000597,5888
source_1,UL000095,5888
source_1,UL000097,5888
source_1,UL001773,5888
source_1,UL001713,5888
source_1,UL001793,5887
source_1,UL001765,5888
source_1,UL000561,5887
source_1,UL001791,5888
source_1,UL001799,5888
source_1,UL000583,5886
source_1,UL000595,5888
source_1,UL001789,5888
source_1,UL000579,5888
source_1,UL000587,5888
source_1,UL001717,5888
source_2,1053601756,2304
source_2,1053601763,2304
source_2,1053601848,2302
source_2,1053600766,2304
source_2,1053599589,2304
source_2,1053597875,2303
source_2,1086293904,2302
source_2,1086293959,2303
source_2,1086293492,2299
source_2,1086293133,2304
source_2,1086292792,2303
source_2,1086292778,2304
source_2,1086292266,2302
source_2,1086291931,2302
source_2,1086292105,2303
source_2,1086292143,2302
source_2,1086289716,2303
source_2,1053601794,2304
source_2,1053601787,2304
source_2,1053601824,2303
source_2,1053601909,2304
source_2,1053600742,2302
source_2,1053600889,2304
source_2,1053599503,2275
source_2,1053597806,2302
source_2,1086293478,2303
source_2,1086293126,2304
source_2,1086292761,2303
source_2,1086292938,2304
source_2,1086292259,2236
source_2,1086292426,2303
source_2,1086292518,2302
source_2,1086291955,2302
source_2,1086292006,2299
source_2,1086290477,2301
source_2,1053601800,2304
source_2,1053601817,2301
source_2,1086293850,2302
source_2,1086294017,2303
source_2,1086293522,2303
source_2,1086293027,2279
source_2,1086293065,2304
source_2,1086293119,2303
source_2,1086292396,2303
source_2,1086292440,2299
source_2,1086292464,2302
source_2,1086290347,2304
source_2,1086292365,2303
source_2,1053601770,2302
source_2,1053601831,2304
source_2,1053599657,2301
source_2,1053597844,2304
source_2,1053597929,2271
source_2,1086293812,2303
source_2,1086293843,2304
source_2,1086293416,2304
source_2,1086293164,2304
source_2,1086292754,2303
source_2,1086292969,2301
source_2,1086292310,2301
source_2,1086292495,2303
source_2,1086292051,2304
source_2,1086289693,2304
source_2,1086289730,2304
source_2,1086289792,2304
source_2,1053601855,2304
