Metadata_Source,Metadata_Plate,n_wells
source_1,UL001671,1472
source_1,UL001677,1472
source_1,UL000089,1472
source_1,UL000091,1472
source_1,UL001665,1472
source_1,UL001669,1472
source_1,UL001787,1470
source_1,UL000083,1472
source_1,UL000095,1472
source_1,UL001765,1472
source_1,UL001771,1472
source_1,UL000561,1472
source_1,UL001713,1472
source_1,UL001781,1472
source_1,UL001797,1472
source_1,UL001795,1471
source_1,UL000577,1472
source_1,UL000581,1472
source_1,UL000585,1472
source_1,UL000587,1472
source_1,UL000597,1472
source_1,UL000599,1472
source_1,UL001773,1472
source_1,UL001645,1472
source_1,UL001643,1472
source_1,UL001651,1472
source_1,UL001655,1472
source_1,UL001649,1472
source_1,UL001661,1472
source_1,UL001673,1472
source_1,UL001675,1472
source_1,UL000087,1472
source_1,UL001679,1472
source_1,UL001667,1472
source_1,UL001785,1467
source_1,UL000081,1472
source_1,UL000093,1472
source_1,UL001769,1472
source_1,UL000097,1472
source_1,UL001719,1472
source_1,UL000109,1472
source_1,UL001641,1472
source_1,UL001653,1472
source_1,UL001659,1472
source_1,UL001647,1472
source_1,UL001783,1472
source_1,UL001791,1472
source_1,UL001793,1472
source_1,UL001799,1472
source_1,UL000579,1472
source_1,UL000583,1472
source_1,UL000593,1472
source_1,UL000595,1472
source_1,UL001717,1472
source_1,UL001789,1472
source_2,1053601923,384
source_2,1053600681,384
source_2,1053600711,384
source_2,1053600773,384
source_2,1053597950,384
source_2,1086293973,384
source_2,1086293997,384
source_2,1086293539,384
source_2,1086292365,384
source_2,1086291955,384
source_2,1053601848,384
source_2,1053601879,384
source_2,1053601947,384
source_2,1053600674,384
source_2,1053600704,384
source_2,1053600766,384
source_2,1053600834,384
source_2,1053597875,384
source_2,1053597936,384
source_2,1053597998,384
source_2,1086293836,384
source_2,1086293874,384
source_2,1086293942,384
source_2,1086293430,384
source_2,1086293034,384
source_2,1086293072,384
source_2,1086293089,384
source_2,1086292358,384
source_2,1086292099,384
source_2,1086292112,384
source_2,1086289693,384
source_2,1053600728,384
source_2,1053600759,384
source_2,1053599633,384
source_2,1053599688,384
source_2,1053597837,384
source_2,1053597943,384
source_2,1053597981,384
source_2,1086293898,384
source_2,1086293911,384
source_2,1086293966,384
source_2,1086293980,384
source_2,1086293478,384
source_2,1086293218,384
source_2,1086293232,384
source_2,1086292747,384
source_2,1086292761,384
source_2,1086292754,384
source_2,1086292303,384
source_2,1086290484,384
source_2,1053600780,384
source_2,1053600810,384
source_2,1053600827,384
source_2,1086293393,384
source_2,1086293416,384
source_2,1086293508,384
source_2,1086293515,384
source_2,1086293126,384
source_2,1086293157,384
source_2,1086293171,384
source_2,1086293195,384
source_2,1086292839,384
source_2,1086292860,384
source_2,1086292891,384
source_2,1086292914,384
source_2,1086292938,384
source_2,1086292952,384
source_2,1086292327,384
source_2,1086292488,384
source_2,1086291917,384
source_2,1086291931,384
source_2,1086291948,384
source_2,1086291986,384
source_2,1086292013,384
source_2,1086292037,384
source_2,1086292136,384
source_2,1086292167,384
source_2,1086290477,384
source_2,1086290644,384
source_2,1086290668,384
source_2,1086290330,384
source_2,1086290347,384
source_2,1086290453,384
source_2,1053600858,384
source_2,1053600865,384
source_2,1053600889,384
source_2,1053601756,384
source_2,1053601763,384
source_2,1053599503,384
source_2,1053599572,384
source_2,1053599602,384
source_2,1053599695,384
source_2,1053597967,384
source_2,1086294017,384
source_2,1086293386,384
source_2,1086293485,384
source_2,1086293522,384
source_2,1086292723,384
source_2,1086292082,384
source_2,1086292105,384
source_2,1086292129,384
source_2,1086292143,384
source_2,1086292150,384
source_2,1053601770,384
source_2,1053601787,384
source_2,1053600797,384
source_2,1053600803,384
source_2,1053600841,384
source_2,1053598001,384
source_2,1086293829,384
source_2,1086293881,384
source_2,1086293904,384
source_2,1086293935,384
source_2,1086293959,384
source_2,1086293461,384
source_2,1086293027,384
source_2,1086293096,384
source_2,1086293119,384
source_2,1086293133,384
source_2,1086293164,384
source_2,1086292730,384
source_2,1086292310,384
source_2,1086292419,384
source_2,1086292433,384
source_2,1086292501,384
source_2,1086292068,384
source_2,1086292051,384
source_2,1086289686,384
source_2,1086289716,384
source_2,1086289730,384
source_2,1053601800,384
source_2,1053601824,384
source_2,1053601831,384
source_2,1053600735,384
source_2,1053600742,384
source_2,1053599541,384
source_2,1053599565,384
source_2,1053597844,384
source_2,1053597929,384
source_2,1053597974,384
source_2,1086293492,384
source_2,1086292792,384
source_2,1086292846,384
source_2,1086292853,384
source_2,1086292884,384
source_2,1086292907,384
source_2,1086292341,384
source_2,1086292389,384
source_2,1086292440,384
source_2,1086289709,384
source_2,1053601817,384
source_2,1053601794,384
source_2,1053601855,384
source_2,1053599558,384
source_2,1053597851,384
source_2,1086293812,384
source_2,1086293850,384
source_2,1086294000,384
source_2,1086294024,384
source_2,1086293102,384
source_2,1086292822,384
source_2,1086292921,384
source_2,1086292372,384
source_2,1086292402,384
source_2,1086292426,384
source_2,1086291979,384
source_2,1086292006,384
source_2,1086292020,384
source_2,1086289761,384
source_2,1053601862,384
source_2,1053601909,384
source_2,1053599657,384
source_2,1053599664,384
source_2,1053597806,384
source_2,1053597882,384
source_2,1086293843,384
source_2,1086293867,384
source_2,1086293423,384
source_2,1086293409,384
source_2,1086293447,384
source_2,1086293553,384
source_2,1086293065,384
source_2,1086293188,384
source_2,1086293201,384
source_2,1086293225,384
source_2,1086292778,384
source_2,1086292969,384
source_2,1086292266,384
source_2,1086292273,384
source_2,1086292464,384
source_2,1086292471,384
source_2,1086292495,384
source_2,1086292518,384
source_2,1086291924,384
source_2,1086291962,384
source_2,1086290323,384
source_2,1086290521,384
source_2,1086290354,384
source_2,1086290361,384
source_2,1086289655,384
source_2,1086289662,384
source_2,1086289778,384
source_2,1086289792,384
source_2,1053600872,384
source_2,1053600896,384
source_2,1053599534,384
